word,def,sentiment,
ACI'DULÆ.,"Medicinal springs impregnated with sharp particles, as all the nitrous, chalybeate, and alum-springs are.",,
To Aci'dulate.,To impregnate or tinge with acids in a slight degree.,,
To ACKNO'WLEDGE.,"1. To own the knowledge of; to own any thing or person in a particular character. 2. To confess; as, a fault. 3. To own; as, a benefit;",,
Ackno'wledging.,Grateful; ready to acknowledge benefits received.,,
Ackno'wledgment.,"1. Concession of any character in another; as, existence, superiority. 2. Concession of the truth of any position. 3. Confession of a fault. 4. Confession of a benefit received; gratitude. 5. Act of attestation to any concession; such as homage.",,
A'CME.,"The height of any thing; more especially used to denote the height of a distemper, which is divided into four periods. 1. The arche, the beginning or first attack. 2. Anabasis, the growth. 3. Acme, the height. And, 4. Paracme, which is the declension of the distemper.",,
Aco'lothist.,"One of the lowest order in the Romish church, whose office is to prepare the elements for the offices, to light the church, &c.",,
A'corn.,The seed or fruit born by the oak.,,
Aco'usticks.,1. The doctrine or theory of sounds. Medicines to help the hearing.,,
To ACQUA'INT.,1. To make familiar with; 2. To inform.,,
Acqua'intance.,"1. The state of being acquainted with; familiarity, knowledge. 2. Familiar knowledge, 3. A slight or initial knowledge, short of friendship, 4. The person with whom we are acquainted; him of whom we have some knowledge, without the intimacy of friendship.",,
Acqua'inted.,"Familiar, well known; not new.",,
Acqu'est.,"Attachment, acquisition; the thing gained.",,
To ACQUIE'SCE.,"To rest in, or remain satisfied with, without opposition or discontent.",,
Acquie'scence.,"1. A silent appearance of content, distinguished on one side from avowed consent, on the other from opposition. 2. Satisfaction, rest, content. 3. Submission.",,
Acqui'rable.,That which may be acquired or obtained; attainable.,,
To ACQU'IRE.,"To gain by one's own labour or power; to obtain what is not received from nature, or transmitted by inheritance.",,
Acqu'ired.,"Gained by one's self, in opposition to those things which are bestowed by nature.",,
An Acqui'rement.,That which is acquired; gain; attainment.,,
An Acqui'rer.,The person that acquires; a gainer.,,
Acquisi'tion.,1. The act of acquiring or gaining. 2. The thing gained; acquirement.,,
Acqu'isitive.,That which is acquired or gained.,,
Acqu'ist.,Acquirement; attainment; gain.,,
To ACQU'IT.,"1. To set free. 2. To clear from a charge of guilt; to absolve; opposed to condemn, 3. To clear from any obligation.",2.5,
Acqu'itment.,The state of being acquitted; or act of acquitting.,,
"Acqu'ittal,",is a deliverance and setting free from the suspicion or guiltiness of an offence.,,
To Acqu'ittance.,To procure an acquittance; to acquit;,,
Acqu'ittance.,1. The act of discharging from a debt. 2. A writing testifying the receipt of a debt.,,
A'cre.,"A quantity of land containing in length forty perches, and four in breadth, or four thousand eight hundred and forty square yards.",,
A'crid.,"Of a hot biting taste; bitter, so as to leave a painful heat upon the organs of taste.",,
Acrimo'nious.,Abounding with acrimony; sharp; corrosive.,,
A'crimony.,"1. Sharpness, corrosiveness. 2. Sharpness of temper, severity, bitterness of thought or language.",,
A'critude.,An acrid taste; a biting heat on the palate.,,
Acroama'tical.,Of or pertaining to deep learning; the opposite of exoterical.,,
Acroa'ticks.,"Aristotle's lectures on the more nice and principal parts of philosophy, to whom none but friends and scholars were admitted by him.",,
Acro'nycal.,"A term of astronomy, applied to the stars, of which the rising and setting is called acronycal, when they either appear above or sink below the horizon at the time of sunset. It is opposed to cosmical.",,
Acro'nycally.,At the acronycal time.,,
A'crospire.,A shoot or sprout from the end of seeds before they are put in the ground.,,
A'crospired.,"Having sprouts, or having shot out.",,
Acro'ss.,"Athwart, laid over something so as to cross it.",,
Acro'stick.,1. That which relates to an acrostick. 2. That which contains acrosticks.,,
"ACROTERS, or ACROTERIA.","Little pedestals without bases, placed at the middle and the two extremes of pediments, sometimes serving to support statues.",,
To ACT.,"1. To be in action, not to rest. 2. To perform the proper functions. 3. To practise the arts or duties of life; to conduct one's self. 4. To bear a borrowed character, as, a stage-player. 5. To counterfeit; to feign by action. 6. To produce effects in some passive subject. 7. To actuate; to put in motion; to regulate the movements.",,
Act.,"1. Something done; a deed; an exploit, whether good or ill. 2. Agency; the power of producing an effect. 3. Action; the performance of exploits; production of effects. 4. The doing of some particular thing; a step taken; a measure executed. 5. A state of action. 6. A part of a play, during which the action proceeds without interruption. 7. A decree of a court of justice, or edict of a legislature. 8. Record of judicial proceedings.",2,
A'ction.,"1. The quality or state of acting, opposite to rest. 2. An act or thing done; a deed. 3. Agency, operation. 4. The series of events represented in a fable. 5. Gesticulation; the accordance of the motions of the body with the words spoken; a part of oratory. Actions are personal, real, and mixt: action personal belongs to a man against another, by reason of any contract, offence, or cause, of like force with a contract or offence made or done by him or some other, for whose fact he is to answer. Action real is given to any man against another, that possesses the thing required or sued for in his own name, and no other man's. Action mixt is that which lies as well against or for the thing which we seek, as against the person that hath it; called mixt, because it hath a mixt respect both to the thing and to the person. Action is divided into civil, penal, and mixt. Action civil is that which tends only to the recovery of that which is due to us; as, a sum of money formerly lent. Action penal is that which aims at some penalty or punishment in the party sued, be it corporal or pecuniary: as, in common law, the next friends of a man feloniously slain shall pursue the law against the murderer. Action mixt is that which seeks both the thing whereof we are deprived, and a penalty also for the unjust detaining of the same. Action upon the case, is an action given for redress of wrongs done without force against any man, by law not specially provided for. Action upon the statute, is an action brought against a man upon breach of a statute. 7. In the plural, in France, the same as stocks in England.",,
A'ction-taking.,Accustomed to resent by means of law; litigious.,,
A'ctionable.,That which admits an action in law to be brought against it; punishable.,,
"A'ctionary, or A'ctionist.",One that has a share in actions or stocks.,,
Actita'tion.,Action quick and frequent.,,
To A'ctivate.,To make active.,,
A'ctively.,In an active manner; busily; nimbly. In an active signification;,,
A'ctiveness.,The quality of being active; quickness; nimbleness.,,
Acti'vity.,"The quality of being active,",,
A'ctor.,"1. He that acts, or performs any thing. 2. He that personates a character; a stage-player.",,
A'ctress.,1. She that performs any thing. 2. A woman that plays on the stage.,,
A'ctual.,1. That which comprises action. 2. Really in act; not merely potential. 3. In act; not purely in speculation.,,
Actua'lity.,The state of being actual.,,
A'ctually.,In act; in effect; really.,,
A'ctualness.,The quality of being actual.,,
A'ctuary.,The register who compiles the minutes of the proceedings of a court;,,
A'ctuate.,Put into action; animated; brought into effect.,,
To A'CTUATE.,To put into action; to invigorate or encrease the powers of motion.,,
Actuo'se.,That which hath strong powers of action;,,
To A'cuate.,"To sharpen, to invigorate with any powers of sharpness.",,
Acu'leate.,That which has a point or sting; prickly; that which terminates in a sharp point.,,
ACU'MEN.,"A sharp point; figuratively, quickness of intellects.",,
Acu'minated.,Ending in a point; sharp-pointed.,,
ACU'TE.,"1. Sharp, ending in a point; opposed to obtuse or blunt. 3. Spoken of the senses, vigorous; powerful in operation. 4. Acute disease. Any disease, which is attended with an increased velocity of blood, and terminates in a few days. 5. Acute accent; that which raises or sharpens the voice.",,
Acu'tely.,After an acute manner; sharply;,,
Acu'teness.,1. Sharpness. 2. Force of intellects. 3. Quickness and vigour of senses. 4. Violence and speedy crisis of a malady. 5. Sharpness of sound.,,
Ada'cted.,Driven by force; a word little used.,,
A'dage.,A maxim handed down from antiquity; a proverb.,,
ADA'GIO.,to mark a slow time.,,
Adamante'an.,Hard as adamant.,,
To ADA'PT.,To fit one thing to another; to suit; to proportion.,,
Ada'ption.,The act of fitting.,,
To Adco'rporate. accorporate;,To unite one body with another;,,
To ADD.,1. To join something to that which was before. 2. To perform the mental operation of adding one number or conception to another.,,
A'ddable.,That which may be added.,,
To Adde'cimate.,To take or ascertain tithes.,,
To Adde'em.,To esteem; to account.,,
A'dder.,"A serpent, a viper, a poisonous reptile; perhaps of any species.",,
Addibi'lity.,The possibility of being added.,,
A'ddible.,Possible to be added.,,
To ADDI'CT.,"1. To devote, to dedicate,",,
A'ddictedness.,The quality or state of being addicted.,,
Addi'ction.,"1. The act of devoting, or giving up. 2. The state of being devoted.",,
An A'dditament.,"The addition, or thing added.",,
Addi'tion.,"1. The act of adding one thing to another; opposed to diminution. 2. Additament, or the thing added. Addition is the reduction of two or more numbers of like kind, together into one sum or total. A title given to a man over and above his christian name and surname, shewing his estate, degree, occupation, trade, age, place of dwelling.",1.5,
Addi'tional.,That which is added.,,
A'dditory.,That which has the power or quality of adding.,,
To A'ddle.,To make addle; to corrupt; to make barren.,-2.5,
A'ddle-pated.,Having addled brains.,,
To ADDRE'SS.,"1. To prepare one's self to enter upon any action; 2. To get ready; to put in a state for immediate use. 3. To apply to another by words, 8. To address, is to apply to the king in form.",,
Addre'ss.,"1. Verbal application to any one, by way of persuasion, petition. 2. Courtship. 3. Manner of addressing another; 4. Skill, dexterity. 5. Manner of directing a letter;",,
Addre'sser.,The person that addresses or petitions.,,
Addu'cent.,"A word applied to those muscles that bring forward, close, or draw together the parts of the body to which they are annexed.",,
To Addu'lce.,To sweeten;,,
A'deling.,"A word of honour among the Angles, properly appertaining to the king's children: king Edward the Confessor, being without issue, and intending to make Edgar his heir, called him adeling.",,
Ade'mption.,Taking away; privation.,,
Ade'pt.,He that is completely skilled in all the secrets of his art.,3,
Ade'pt.,Skilful; throughly versed.,3,
A'dequate.,"Equal to; proportionate; correspondent to, so as to bear an exact resemblance or proportion.",,
A'dequately.,1. In an adequate manner; with justness of representation; with exactness of proportion.,,
